"term","estimate","se","ci.lb","ci.ub","pval"
"modelCentile2",1.50540605422139,0.546043074542347,0.435181294110867,2.57563081433191,0.0058345690205318
"modelDBN",1.74265795507444,0.546138510280708,0.672246144353899,2.81306976579499,0.00141844219302474
"modelDevBrainAge",1.48168735722463,0.546035881770924,0.411476694687047,2.55189801976221,0.00665695795248652
"modelENIGMA",2.45798573387551,0.546232682605247,1.38738934879053,3.5285821189605,6.79893686592487e-06
"modelKaufmann",1.66785358960033,0.546109457535772,0.597498721213513,2.73820845798715,0.00225763422708521
"modelPyBrainAge",2.46506376848266,0.546251967580081,1.39442958554156,3.53569795142376,6.40116659705387e-06
"modelPyment",1.41994198679959,0.546030866823151,0.34974115337903,2.49014282022015,0.00930936250639013
"modelCentile2:mean_age_c",-0.0408586885953537,0.0427844281606699,-0.124714626889408,0.0429972496987005,0.339582901227385
"modelDBN:mean_age_c",0.091439452185319,0.0429249933358285,0.00730801121047328,0.175570893160165,0.0331538912512831
"modelDevBrainAge:mean_age_c",-0.0404458670841985,0.0427854325329712,-0.12430377391179,0.0434120397433934,0.344496222639247
"modelENIGMA:mean_age_c",-0.0521957097772393,0.0428552676504928,-0.13619049092003,0.0317990713655511,0.22324176306967
"modelKaufmann:mean_age_c",-0.00715119510612537,0.0428458901314954,-0.0911275966494166,0.0768252064371658,0.867444765598242
"modelPyBrainAge:mean_age_c",0.00865014791128777,0.0429112186295081,-0.0754542951352724,0.0927545909578479,0.840243178694618
"modelPyment:mean_age_c",-0.0385616037568517,0.0427767397504644,-0.122402473043805,0.0452792655301014,0.367342749372316
