"model","pearson_r","ci.lb","ci.ub"
"AdaptAge",0.141341537660653,0.0136659367757287,0.264482182683962
"AltumAge",0.311629309257835,0.191334045875998,0.422701244196224
"Bohlin",0.811609099574194,0.761435869369679,0.852116144562224
"cAge",0.383347282304333,0.268549315895031,0.487408481559775
"CorticalClock",0.277775207340496,0.155334712697685,0.39181026876155
"DamAge",0.176633403706068,0.0498367952316357,0.297826578750385
"DNAmTL",0.155668553165649,0.0279127621766925,0.278420612553907
"DunedinPACE",0.104714436697867,-0.0235233588054259,0.229562063724769
"EPIC",0.782126432601321,0.723096941369699,0.829815025622713
"Hannum",0.231973848633955,0.107195451734727,0.349558086458977
"Horvath2013",0.258110256819261,0.134632895324489,0.373694252452356
"Knight",0.63173340955105,0.545841900955601,0.704486220389558
"PCBrainAge",0.200724657299135,0.0747205837291864,0.320419852160241
"PCGrimAge",0.286185797619499,0.164238545469913,0.399516953997192
"PedBE",0.252590155211226,0.128781867536459,0.368645050078691
"PhenoAge",0.234410884263482,0.109742309351488,0.351818318223999
"skinHorvath",0.386042620549246,0.271493570309508,0.489807374857612
"Wu",0.201766172752553,0.0757618699828863,0.321427855009125
"ZhangBLUP",0.319602197603157,0.199813524099797,0.429977973280925
"ZhangEN",0.354243920586504,0.237027869023178,0.461294167397496
